LANGUAGE,"English","Czech"
STR_CELO_LOAD_TEXT,"Fight for your soul.","Boj o vlastní duši"
STR_CELO_MissionName,"Druid","Druid"
STR_CELO_DiaryName,"Druid","Druid"
STR_CELO_title1,"Celoush","Celoush",
STR_CELO_title2,"present","uvádí",
STR_CELO_title3,"Druid","Druid",
STR_CELO_title4,"Your soul is can be your only","Tvá duše může být jen tvá",
STR_CELO_DEBR_title,"Win","Zvládl si to"
STR_CELO_DEBR_description,"Your soul can be your only. But...","Tvá duše může být jen tvá. Ale...."
STR_CELO_DEBR_FAIL_title,"You lost your soul","Ztratil si svou duši"
STR_CELO_DEBR_FAIL_description,"Power of forest is stronger than you can handle.","Moc lesa je větší než dokážeš zvládnout a proto tě ovládl."
STR_CELO_DiaryName,"Druid","Druid"
STR_CELO_DiaryDescription,"You've been possessed by an unknown forest force. Help clean them and free your soul. You need to find enemy camps and clean it, but safely. Soldiers are not your only enemy. The power of forest is rising.<br /><br />You can use your power via action menu or use keys (1,2,3,5,8,9).<br />In navigation and fear detection mode you need to listen power of music.<br />As ghost you are immortal, but every hit will give more power to forest.<br />Destruction is powerfull, but at great cost. The more objects before you the better. And as close as possible.<br />Rest reduces the power of forest, but your enemy will be more heroic.<br />Don't forget to clean empty area camps.","Posedla tě neznámá síla lesa, která tě naštěstí nedokázala plně ovládnout. Tvou jedinou šancí je splnit jeho přání, vyčistit les a osvobodit tím svou duši. Je potřeba najít nepřátelské tábory a zbavit se jejich členů, ale opatrně a bezpečně. Vojáci nejsou tvým jediným nepřítelem. Síla lesa neustále roste!<br /><br /Využít svých schopností můžeš přes akční menu nebo pomocí klávesových zkratek (1,2,3,5,8,9).<br />V navigačním modu a detekčním modu strachu je třeba naslouchat síle hudby.<br />V modu ducha jsi nesmrtelný. Zásahy převezme les, ale ten tím získává mnohem více síly.<br />Ničení okolí je mocná zbraň, ale za velkou cenu. Čím více objektů před sebou zničíš a čím blíže k nepřátelům, tím více je vyděsíš.<br />Odpočinek sníží sílu lesa, ale nepřátelští vojáci budou více odvážní.<br />Nezapomeň po sobě očistit tábory."
STR_CELO_hint1,"You can use your power via action menu or use keys (1,2,3,5,8,9).","Využít svých schopností můžeš přes akční menu nebo pomocí klávesových zkratek (1,2,3,5,8,9)."
STR_CELO_hint2,"In navigation and fear detection mode you need to listen power of music.","V navigačním modu a detekčním modu strachu je třeba naslouchat síle hudby."
STR_CELO_hint3,"As ghost you are immortal, but every hit will give more power to forest.","V modu ducha jsi nesmrtelný. Zásahy převezme les, ale ten tím získává mnohem více síly."
STR_CELO_hint4,"Destruction is powerfull, but at great cost. The more objects before you the better. And as close as possible.","Ničení okolí je mocná zbraň, ale za velkou cenu. Čím více objektů před sebou zničíš a čím blíže k nepřátelům, tím více je vyděsíš."
STR_CELO_hint5,"Rest reduces the power of forest, but your enemy will be more heroic. Don't forget to clean empty area camps!","Odpočinek sníží sílu lesa, ale nepřátelští vojáci budou více odvážní. Nezapomeň po sobě očistit tábory!"
STR_CELO_soothe_ready,"Forest is ready for next soothe","Les může být očištěn"
STR_CELO_sooth_action_name,"Soothe forest in the area","Očistit část lesa"
STR_CELO_1_navigation_mode,"1.) Navigation mode","1.) Navigační mód"
STR_CELO_2_fear_detection_mode,"2.) Fear detection mode","2.) Mód detekce strachu"
STR_CELO_3_ghost_mode,"3.) Ghost mode","3.) Mód ducha"
STR_CELO_5_rest,"5.) Rest","5.) Odpočinek"
STR_CELO_7_lightning,"7.) Lightning","7.) Blesk"
STR_CELO_8_destruction,"8.) Destruction","8.) Ničení"
STR_CELO_9_fireplace,"9.) Fireplace","9.) Ohniště"
STR_CELO_intro_text_1,"Can you feel it?","Cítíš to?"
STR_CELO_intro_text_2,"The power!","Tu moc!"
STR_CELO_intro_text_3,"You are not just common man.","Již nejsi obyčejným člověkem."
STR_CELO_intro_text_4,"You are me.","Jsi mnou."
STR_CELO_intro_text_5,"But you're too strong for me to dominate you! For now.","Ale jsi příliš silný, abych tě plně ovládl!"
STR_CELO_intro_text_6,"Help me and you will be free again. I will show you how!","Pomoz mi a znovu se osvobodíš. Popíši ti jak!"
STR_CELO_outro_text,"Now you are free","Nyní jsi zase volný"
STR_CELO_later_text,"LATER","POZDĚJI"
STR_CELO_fireplace_not_Found,"Fireplace not found","Žádné ohniště v okolí nenalezeno"
STR_CELO_fireplace_off,"No flames now","Ohniště uhašeno"
STR_CELO_fireplace_on,"Come on baby, light my fire","Oheň zapálen!"
STR_CELO_group_scared,"They are scared. They will run. Camp will be ready for soothe.","Vyděsil si je. Rozprchnou se. Tábor bude možné očistit."
